coach_id,name,gender,function,country,disciplines,birth_date
1533246,PEDRERO Ofelia,Female,Coach,Mexico,Artistic Swimming,1988-03-28
1535775,RADHI SHENAISHIL,Male,Head Coach,Iraq,Football,1965-07-01
1536055,AFLAKIKHAMSEH Majid,Male,Coach,IR Iran,Taekwondo,1973-08-26
1536059,YOUSEFY Mehrdad,Male,Coach,IR Iran,Taekwondo,1972-06-12
1536060,MADDAH Minoo,Female,Coach,IR Iran,Taekwondo,1976-05-17
1536328,LOFTUS Adriana,Female,Coach,Mexico,Artistic Swimming,1958-06-28
1538313,FERRARA Fernando,Male,Head Coach,Argentina,Hockey,1968-07-24
1538315,GULLA Alejandra,Female,Assistant Coach,Argentina,Hockey,1977-07-04
1538317,CAPURRO Santiago,Male,Assistant Coach,Argentina,Hockey,1975-04-08
1538745,RONCONI Mariano,Male,Head Coach,Argentina,Hockey,1900-01-01
1538748,PAULON Ezequiel,Male,Assistant Coach,Argentina,Hockey,1900-01-01
1538751,VILA Matias,Male,Assistant Coach,Argentina,Hockey,1900-01-01
1539598,KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,Coach,IR Iran,Artistic Gymnastics,1965-06-27
1540258,DAVIS DIAZ David,Male,Coach,Mexico,Taekwondo,1977-10-07
1540259,MENDOZA MORA Abel,Male,Coach,Mexico,Taekwondo,1988-02-26
1540260,VICTORIA ESPINOSA de los Alfonso,Male,Coach,Mexico,Taekwondo,1985-02-01
1540522,MILANO Guillermo,Male,Head Coach,Argentina,Handball,1973-02-08
1540638,GOMEZ CORA Santiago,Male,Head Coach,Argentina,Rugby Sevens,1978-07-25
1540639,GRAVANO Leonardo,Male,Assistant Coach,Argentina,Rugby Sevens,1973-08-30
1540840,FILIORIANU Ana Luiza,Female,Coach,Romania,Rhythmic Gymnastics,1999-07-10
1542341,SMAILI Badr,Male,Coach,Morocco,Taekwondo,1993-05-07
